House ID,Year,Month,Gas Bill (€),Electricity Bill (€)
1,2020,1,75,50
1,2020,2,80,55
1,2020,3,70,45
1,2020,4,85,60
1,2020,5,90,65
1,2020,6,95,70
1,2020,7,100,75
1,2020,8,105,80
1,2020,9,110,85
1,2020,10,115,90
1,2020,11,120,95
1,2020,12,125,100
1,2021,1,130,105
1,2021,2,135,110
1,2021,3,140,115
1,2021,4,145,120
1,2021,5,150,125
1,2021,6,155,130
1,2021,7,160,135
1,2021,8,165,140
1,2021,9,170,145
1,2021,10,175,150
1,2021,11,180,155
1,2021,12,185,160
1,2022,1,190,165
1,2022,2,195,170
1,2022,3,200,175
1,2022,4,205,180
1,2022,5,210,185
1,2022,6,215,190
1,2022,7,220,195
1,2022,8,225,200
1,2022,9,230,205
1,2022,10,235,210
1,2022,11,240,215
1,2022,12,245,220
1,2023,1,250,225
1,2023,2,255,230
1,2023,3,260,235
1,2023,4,265,240
1,2023,5,270,245
1,2023,6,275,250
1,2023,7,280,255
1,2023,8,285,260
1,2023,9,290,265
1,2023,10,295,270
1,2023,11,300,275
1,2023,12,305,280
1,2024,1,310,285
1,2024,2,315,290
1,2024,3,320,295
1,2024,4,325,300
2,2020,1,80,55
2,2020,2,85,60
2,2020,3,90,65
2,2020,4,95,70
2,2020,5,100,75
2,2020,6,105,80
2,2020,7,110,85
2,2020,8,115,90
2,2020,9,120,95
2,2020,10,125,100
2,2020,11,130,105
2,2020,12,135,110
2,2021,1,140,115
2,2021,2,145,120
2,2021,3,150,125
2,2021,4,155,130
2,2021,5,160,135
2,2021,6,165,140
2,2021,7,170,145
2,2021,8,175,150
2,2021,9,180,155
2,2021,10,185,160
2,2021,11,190,165
2,2021,12,195,170
2,2022,1,200,175
2,2022,2,205,180
2,2022,3,210,185
2,2022,4,215,190
2,2022,5,220,195
2,2022,6,225,200
2,2022,7,230,205
2,2022,8,235,210
2,2022,9,240,215
2,2022,10,245,220
2,2022,11,250,225
2,2022,12,255,230
2,2023,1,260,235
2,2023,2,265,240
2,2023,3,270,245
2,2023,4,275,250
2,2023,5,280,255
2,2023,6,285,260
2,2023,7,290,265
2,2023,8,295,270
2,2023,9,300,275
2,2023,10,305,280
2,2023,11,310,285
2,2023,12,315,290
2,2024,1,320,295
2,2024,2,325,300
2,2024,3,330,305
2,2024,4,335,310
3,2020,1,70,45
